id	kind	source	symbol	line	sha256	strategy
R0265	runtime_source	src/runtime/cli/test/parallel/Channel.rs	Channel.rs	1	5464b5bbcdb464ef592aa00ddcf715587ab6701959b6df56c18cd15e2bed95f8	native_implementation
R0266	runtime_source	src/runtime/cli/test/parallel/Coordinator.rs	Coordinator.rs	1	b6f8c416fb442fd3ea742e85f65914800774ae093fd46b6a86665959d79676cb	native_implementation
R0267	runtime_source	src/runtime/cli/test/parallel/FileRange.rs	FileRange.rs	1	3ec0f7b9ee1f70f638b526499a7f78ea161e8a19a2f9b5d2bef057448d96dc25	native_implementation
R0268	runtime_source	src/runtime/cli/test/parallel/Frame.rs	Frame.rs	1	9ac95d7e7a4cbeea73aa7a533c4a6f8e84c9d70262e85e7a0b0b019151cc52a3	native_implementation
R0269	runtime_source	src/runtime/cli/test/parallel/Worker.rs	Worker.rs	1	1822d50ab3aebe0dbddc5f5531d42e9af92a31a9759364b7f9ab8caa5afd86bb	native_implementation
R0270	runtime_source	src/runtime/cli/test/parallel/aggregate.rs	aggregate.rs	1	fe68c8a61474523b4990383c35ff995050e706d307f5f61c4edeb6d39e6bf912	native_implementation
R0271	runtime_source	src/runtime/cli/test/parallel/runner.rs	runner.rs	1	d05c786db926c4782f527b99f4419af81e740a70256c8001cdeebe5b5524437c	native_implementation
R0272	runtime_source	src/runtime/cli/test_command.rs	test_command.rs	1	276912d86403a6d54d8d8c4df1d8ef305c60c82f67f5125a05486e23087e7529	native_implementation
R0273	runtime_source	src/runtime/cli/uninstall.ps1	uninstall.ps1	1	b7e2c4daf6a7dedde7eb122171eb7c26665997afc1a46f0fc397bb5875e30915	native_implementation
R0274	runtime_source	src/runtime/cli/unlink_command.rs	unlink_command.rs	1	9b0bd57c95cf17a0e0fd3b92bd723aadc66581bd046482874d6d52e7d7cbbb42	native_implementation
R0275	runtime_source	src/runtime/cli/update_command.rs	update_command.rs	1	a32b1205c8f1a999393ea0974a91f46a108d2527745f26ec3b052ddd5a3da2a7	native_implementation
R0276	runtime_source	src/runtime/cli/update_interactive_command.rs	update_interactive_command.rs	1	e63552566f93d21c514d5e4d25166e7861f3310e8d8f981ea1105102860d8620	native_implementation
R0277	runtime_source	src/runtime/cli/upgrade_command.rs	upgrade_command.rs	1	c93d8a320ce7982b1f4190fef7b74af2107c87ddb3a661e69c7f80eacf48b046	native_implementation
R0278	runtime_source	src/runtime/cli/which_npm_client.rs	which_npm_client.rs	1	556e36d38cf41bb529b01c876a10e9dbaef5c070867b904bd7237a014f0f2033	native_implementation
R0279	runtime_source	src/runtime/cli/why_command.rs	why_command.rs	1	99637846c2434d72c45e0788ce36956da55eb0a0acc243a79f567230ff3e3734	native_implementation
R0280	runtime_source	src/runtime/crypto/CryptoHasher.rs	CryptoHasher.rs	1	4296eede728320c45a5dcb985504f0a978f5bd2c064c55b8f0faf21c20146fb1	native_implementation
R0281	runtime_source	src/runtime/crypto/EVP.rs	EVP.rs	1	0a0b4c9afc929b9de49197288ef728302290d8911e46583af276d89f4bde5fec	native_implementation
R0282	runtime_source	src/runtime/crypto/HMAC.rs	HMAC.rs	1	27493f0b441493d71c4d5b4d69f6ae0bd2933c3eced9034dc97c8e1035560d0a	native_implementation
R0283	runtime_source	src/runtime/crypto/PBKDF2.rs	PBKDF2.rs	1	befed63adc7e934500890a35f484da13e33ad2b31b077e3acdc40f3175bea06a	native_implementation
R0284	runtime_source	src/runtime/crypto/PasswordObject.rs	PasswordObject.rs	1	3ae510935ec41e159032660a461f2909df65bec1d7496fb301c03163daca3730	native_implementation
R0285	runtime_source	src/runtime/crypto/boringssl_jsc.rs	boringssl_jsc.rs	1	5ab206568f8e732791d9ea818c48be9d7d37ed7c357a6c7009854e3fdb162b20	native_implementation
